EventNumber,Energy,X,Y,Z,Px,Py,Pz,ParticleType,L1_Energy,L1_X,L1_Y,L1_Z,L1_Px,L1_Py,L1_Pz,L2_Energy,L2_X,L2_Y,L2_Z,L2_Px,L2_Py,L2_Pz
573,6555.58,0,0,6555.58,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
574,8407.26,0,0,8407.26,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
575,18108.3,0,0,18108.3,11,0,0,0,18093.5,3999.27,-0.0374982,1999.98,18093.5,-1.47573,-8.89829,18090.3,8000.0,0.477274,1997.48,18090.3,5.91359,-13.8659
576,15921.9,0,0,15921.9,11,0,0,0,15908.1,3998.04,-0.0971685,2000.13,15908.1,-1.38697,2.84311,14188.5,7999.31,0.730038,2002.52,14188.5,0.397827,9.78876
577,1308.47,0,0,1308.47,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
578,5084.43,0,0,5084.43,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
579,8686.18,0,0,8686.18,11,0,0,0,8293.1,3998.22,0.434403,2000.48,8293.1,1.63631,0.265551,5713.18,7996.81,-3.23885,1998.98,5713.18,-1.40671,-3.27704
580,13423.1,0,0,13423.1,11,0,0,0,13086.7,3998.35,-0.0896311,2000.38,13086.7,-0.564754,2.65622,13070.8,7997.61,-2.16721,2002.35,13070.8,-10.5327,7.78817
581,18469.3,0,0,18469.3,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
582,10541.2,0,0,10541.2,11,0,0,0,10502.6,3999.5,0.343873,1999.57,10502.6,-1.0542,-1.23705,10480.5,8000.0,0.0593834,2000.16,10480.5,-1.58073,3.90091
583,17131.9,0,0,17131.9,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
584,9676.96,0,0,9676.96,11,0,0,0,9666.64,3998.16,-0.0677158,1999.86,9666.64,1.43409,-1.61516,9329.03,8000.0,0.700181,1999.36,9329.03,0.0673906,-4.17376
585,1074.16,0,0,1074.16,11,0,0,0,681.516,3999.25,-2.35161,2003.15,681.497,-3.6483,-3.45505,676.522,7995.64,-55.0298,1994.74,676.462,-9.00896,0.132558
586,13940.1,0,0,13940.1,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
587,17354.2,0,0,17354.2,22,0,0,0,15392.5,3999.37,-0.000171622,2000.0,15392.5,-1.07393,-1.74128,15377.5,7995.65,-0.131606,1999.81,15377.5,-0.3783,-1.78922
588,9964.86,0,0,9964.86,11,0,0,0,9940.09,3998.21,0.0190717,2000.44,9940.09,-3.33944,-1.71269,9873.29,8000.0,-0.739598,1997.95,9873.28,0.281975,-12.5821
589,2078.21,0,0,2078.21,11,0,0,0,2055.83,3998.14,0.486132,1998.71,2055.83,-0.489155,-0.717301,1982.44,7996.0,1.31632,2013.09,1982.42,1.35141,8.04987
